STREETNUMBER,STREET,TOTALUNITS,BUSINESSOPERATOR,TOTALOUTSTANDING,LATITUDE,LONGITUDE,DETAILURL
404,E 8TH AVENUE,39,Golden Fortune Enterprises Ltd,4,49.263195549999999,-123.095397360000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=404&street=E 8TH AVENUE
107,E BROADWAY,46,Aishwarya Investments Ltd,3,49.263460389999999,-123.102501110000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=107&street=E BROADWAY
833,E BROADWAY,11,Gordon Block Apartments Ltd,1,49.262748330000001,-123.086428369999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=833&street=E BROADWAY
1209,E BROADWAY,37,Cameo Concepts Corp,1,49.262682419999997,-123.078692970000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1209&street=E BROADWAY
1383,E BROADWAY,30,0907682 BC Ltd,3,49.262664139999998,-123.075799219999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1383&street=E BROADWAY
1510,E BROADWAY,22,Joseph Seccia & Mario Seccia,3,49.262031090000001,-123.073399740000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1510&street=E BROADWAY
1530,E BROADWAY,5,Broadway Terrace Development Ltd,4,49.262027740000001,-123.073021890000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1530&street=E BROADWAY
1533,E BROADWAY,12,Alpha Partner Global Ltd,1,49.262640740000002,-123.073031599999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1533&street=E BROADWAY
1624,E BROADWAY,17,Lori-Gay Holdings Ltd,4,49.262014870000002,-123.071313059999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1624&street=E BROADWAY
50,E CORDOVA STREET,39,Southwood Ventures Inc,2,49.282152369999999,-123.103059010000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=50&street=E CORDOVA STREET
100,E CORDOVA STREET,48,Provincial Rental Housing Corporation,21,49.282070089999998,-123.101975800000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=100&street=E CORDOVA STREET
172,E CORDOVA STREET,11,Atira Women's Resource Society,1,49.282142420000000,-123.100091470000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=172&street=E CORDOVA STREET
420,E CORDOVA STREET,65,Metro Vancouver Housing Corporation,9,49.281931479999997,-123.094827180000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=420&street=E CORDOVA STREET
679,E CORDOVA STREET,12,679 East Cordova Street Holdings Ltd,1,49.282351120000001,-123.089714240000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=679&street=E CORDOVA STREET
208,E GEORGIA STREET,73,Atira Women's Resource Society,12,49.278395359999998,-123.099321470000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=208&street=E GEORGIA STREET
221,E GEORGIA STREET,16,Casu Holdings Ltd,3,49.278805929999997,-123.098826540000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=221&street=E GEORGIA STREET
249,E GEORGIA STREET,18,249 East Georgia Street Holdings Ltd,6,49.278789650000000,-123.098000360000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=249&street=E GEORGIA STREET
291,E GEORGIA STREET,34,David Lam,21,49.278676900000001,-123.097399460000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=291&street=E GEORGIA STREET
8,E HASTINGS STREET,5,Zarshi Investments Inc,3,49.281110280000000,-123.104041650000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8&street=E HASTINGS STREET
103,E HASTINGS STREET,19,Potter's Place Mission Society,1,49.281677320000000,-123.101875990000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=103&street=E HASTINGS STREET
159,E HASTINGS STREET,171,Balmoral Hotel Ltd,113,49.281662869999998,-123.100819770000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=159&street=E HASTINGS STREET
160,E HASTINGS STREET,158,Triville Enterprises Ltd,556,49.281050620000002,-123.100850410000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=160&street=E HASTINGS STREET
