NODE_NUMBER,LAT,LONG,BLOCK_NUMBER
6,49.2783594200384,-123.116529823254,08
1,49.2787851237886,-123.116121069541,08
3,49.2786060723632,-123.116391582833,08
12,49.2778036307033,-123.117307108947,08
2,49.2787082800879,-123.116002511804,08
10,49.2780013954465,-123.117070964193,08
1,49.2783886167375,-123.115582150859,08
8,49.2781804035568,-123.116800401566,08
11,49.2780780312694,-123.117189425161,08
5,49.2784361192801,-123.116648380633,08
4,49.2785293459162,-123.116272984134,08
7,49.2783731633931,-123.11674496819,08
13,49.2779073655463,-123.117446449516,08
2,49.2562580445532,-123.056109365459,74
1,49.2561955290317,-123.055454736404,74
1,49.2224154262954,-123.039021131804,67
1,49.225389538924,-123.201013233044,42
2,49.2251053986614,-123.200768756084,42
5,49.2741507727052,-123.047032437135,77
3,49.2741526641685,-123.048097159098,77
1,49.2741556813668,-123.049220213117,77
4,49.2740943218101,-123.047574654889,77
2,49.2740936502009,-123.048690266504,77
1,49.273720840666,-123.048806271551,77
3,49.2737257034025,-123.047760234382,77
2,49.2737206366458,-123.048264072757,77
4,49.2737258900129,-123.047306610606,77
1,49.2620569323165,-123.111067438143,26
3,49.2616452671842,-123.111085522333,26
1,49.2483664159678,-123.137271639953,14
3,49.2483883170136,-123.138742005818,14
2,49.2483106496386,-123.137917736523,14
4,49.2417399581954,-123.19361994794,49
2,49.2421762166885,-123.193610346587,49
8,49.2873725740058,-123.033548062409,102
10,49.2874080419412,-123.033548086473,102
6,49.2873359636843,-123.033548037569,102
4,49.2873004957485,-123.033548013505,102
2,49.2872684639655,-123.033547991772,102
12,49.270940105278,-123.12069380605,00
6,49.27155406554,-123.119810049206,00
2,49.2710401570494,-123.122829488112,XX
7,49.2715135317579,-123.120804932075,00
6,49.277197031739,-123.107127566181,00
3,49.2780757809515,-123.110958672509,00
8,49.2777776845772,-123.106801828048,00
1,49.2781857084134,-123.111129938855,00
4,49.2780259810665,-123.110876990179,00
5,49.2779899296805,-123.110800604531,00
7,49.2771960471829,-123.107025193481,00
2,49.2781358996424,-123.111048269899,00
9,49.2778109711506,-123.106913799521,00
1,49.2755084236687,-123.102552571762,XX
2,49.2170286671062,-123.08214486368,RS
1,49.2167221153675,-123.082450199942,RS
11,49.2730390870096,-123.102141084252,XX
17,49.2669270090005,-123.138126592231,21
15,49.2671481451551,-123.137834414343,21
7,49.2675696751955,-123.137784220802,21
13,49.2670202243747,-123.137675983926,21
16,49.2670428824205,-123.138091287153,21
11,49.2670119018228,-123.136890305229,21
10,49.2670115260019,-123.137313159153,21
18,49.2669275602797,-123.137981399562,21
12,49.2670000147991,-123.136498619915,21
8,49.2673182444632,-123.137660840692,21
9,49.2671826230102,-123.137495309785,21
14,49.2669044801132,-123.13767094716,21
3,49.2847923699495,-123.100252965718,XX
1,49.2849009321143,-123.100305451613,XX
2,49.2849458100366,-123.100065664272,XX
4,49.2848424962933,-123.100018552174,XX
1,49.2771286625633,-123.132459728895,10
2,49.2027870590393,-123.133641246689,11
1,49.2027918905571,-123.13320426388,11
0.5,49.2330477073216,-123.037248560439,82
8,49.2828974736764,-123.087247691583,57
2,49.2644603533685,-123.079303544485,22
1,49.2648876471328,-123.079455396502,22
3,49.2643555161582,-123.078112345884,22
1,49.264900695856,-123.07810138577,22
2,49.2646700671981,-123.078102341286,22
2,49.2596912281532,-123.162479572483,29
2,49.2718065216196,-123.208737696441,17
1,49.2580189176528,-123.10324163468,30
2,49.2619499532541,-123.081309715073,25
1,49.2622042831508,-123.081438284136,25
0.6,49.2622042534015,-123.081288925531,25
2,49.2429903430679,-123.178575650898,48
1,49.2426350513589,-123.17874860531,48
2,49.2428685208654,-123.17792828938,48
1,49.2430935874179,-123.177924660333,48
3,49.2425201817856,-123.177933027979,48
2,49.2084700452034,-123.133726953464,12
3,49.2086108673432,-123.134176132716,12
1,49.2074438957847,-123.13368224378,12
2,49.2074321635432,-123.134134323366,12
7,49.2086052857943,-123.134589756099,12
5,49.2086043664515,-123.134483199958,12
4,49.2084782177613,-123.134451170504,12
2,49.2656116305421,-123.073481860457,21
2,49.2569050811261,-123.027295603563,31
4,49.2563642750804,-123.026465389287,31
1,49.2571844029151,-123.027888211213,31
3,49.2565847229568,-123.027000399298,31
1,49.2572217351103,-123.026068844426,31
10,49.2737720802303,-123.157442187133,K
17,49.2735148214149,-123.159485892281,K
18,49.2733818661576,-123.159007482319,K
22,49.2731605191526,-123.157267423735,K
15,49.273705168591,-123.159198964667,K
12,49.2738088534719,-123.158146325359,K
11,49.2737996403779,-123.15779250508,K
9,49.2737143596718,-123.15707089145,K
8,49.273635582682,-123.156724275277,K
16,49.2736248317582,-123.159480005622,K
13,49.2737938179245,-123.158497607282,K
21,49.2732130636469,-123.157528940595,K
20,49.2732352541208,-123.157786539445,K
14,49.2737593833947,-123.158838914793,K
19,49.2733385057392,-123.158774600657,K
3,49.2733052865678,-123.156572860685,KI
1,49.2731417840037,-123.158719928741,KI
4,49.2733286471674,-123.155814205914,KI
6,49.273658521435,-123.154741337845,KI
7,49.274104888937,-123.154190275377,KI
5,49.2732225742708,-123.154945784994,KI
24,49.2730447776385,-123.153257849705,KI
23,49.2732514395081,-123.153483519575,KI
9,49.2752031684688,-123.153214508312,KI
11,49.2763250644139,-123.152215591269,KI
10,49.2756894953363,-123.152798680889,KI
2,49.2728473464626,-123.157429634834,KI
